R (arcmin),vel
11.11,225.208
10.808,226.851
10.477,228.98
10.145,230.945
9.813,232.417
9.482,234.546
9.15,236.73
8.818,239.681
8.487,243.291
8.155,245.365
7.823,247.111
7.492,247.76
7.16,247.751
6.828,247.798
6.497,247.899
6.165,249.59
5.834,249.855
5.502,250.066
5.17,250.661
4.839,251.146
4.507,251.302
4.175,251.293
3.844,251.12
3.512,249.906
3.181,246.664
2.849,241.229
2.518,238.096
2.186,237.869
1.855,238.244
1.696,236.379
1.523,232.316
1.392,229.264
1.217,226.031
1.036,230.271
0.89,238.28
0.782,244.477
0.588,249.861
0.376,244.467
0.286,234.684
0.262,227.205
0.221,205.296
0.22,216.725
0.168,193.218
0.168,178.579
0.154,163.766
0.154,150.502
0.135,134.653
0.125,114.392
0.096,92.318
0.093,104.265
0.081,73.124
0.081,63.678
0.068,23.884
0.067,43.611
0.063,2.78
0.054,-16.151
0.039,-35.867
0.026,-81.147
0.026,-95.859
0.025,-55.342
0.025,-68.606
0.014,-174.481
0.013,-148.555
0.013,-161.367
0.012,-108.762
0.012,-122.026
0.012,-135.291
-0.031,-185.271
-0.052,-198.89
-0.066,-211.382
-0.091,-219.504
-0.154,-226.998
-0.269,-220.524
-0.379,-212.19
-0.473,-203.778
-0.651,-201.723
-0.764,-207.338
-0.869,-225.15
-0.94,-234.798
-1.004,-242.878
-1.13,-248.972
-1.245,-255.066
-1.416,-259.257
-1.747,-263.047
-2.079,-260.096
-2.411,-254.568
-2.742,-250.63
-3.074,-252.283
-3.405,-258.321
-3.737,-262.001
-4.068,-263.599
-4.4,-266.074
-4.731,-268.823
-5.063,-271.791
-5.395,-272.019
-5.726,-270
-6.058,-269.898
-6.389,-269.907
-6.721,-269.915
-7.053,-268.334
-7.384,-264.944
-7.716,-261.171
-8.048,-257.945
-8.38,-257.899
-8.622,-257.905
-8.834,-257.797
