AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
3C351.0,NGC6292,x,"('256.1725', '60.74194')","(255.76446, 61.04388)",396.049300553,x,3520.5,62.8,x,22.4,15.7,45.6,85.0,51.6,51.6,NGC6292,.S..4..,59.1,105.0,Sbc,0.011378
3C351.0,SDSSJ170327.95+610631.5,x,"('256.1725', '60.74194')","(255.86729, 61.10881)",332.896828792,x,3422.2,48.20028618,x,9.2,5.5,53.1,15.0,7.1,7.1,0,x,x,x,x,0.01105
3C351.0,MRK0892,x,"('256.1725', '60.74194')","(256.56603, 60.7052)",179.401390498,x,3725.0,52.46477936,x,12.9,6.7,58.7,170.0,89.2,89.2,0,x,x,x,Pair,0.012064
3C351.0,2MASXJ17071270+6055144,x,"('256.1725', '60.74194')","(256.803, 60.92067)",280.183093317,x,3206.2,45.15829266,x,3.6,2.5,45.6,145.0,24.9,24.9,0,x,x,x,HII,0.010336
3C351.0,NGC6306,x,"('256.1725', '60.74194')","(256.90408, 60.72889)",270.965441682,x,3080.2,43.38287465,x,19.3,8.1,65.2,165.0,77.1,77.1,NGC6306,.SBS2P*,72.8,166.0,SB(s)ab pec:,0.009917
3C351.0,NGC6307,x,"('256.1725', '60.74194')","(256.91863, 60.75078)",283.683857559,x,3164.1,44.56520255,x,22.7,15.4,47.2,150.0,58.6,58.6,NGC6307,PSBS0P.,40.7,145.0,(R')SB(s)0/a pec,0.010197
3C351.0,NGC6310,x,"('256.1725', '60.74194')","(256.98946, 60.99017)",406.34311893,x,3525.7,49.65828781,x,34.5,8.3,76.1,70.0,51.9,51.9,NGC6310,.S..3*/,77.7,69.0,Sb: sp,0.011405
