AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
TON488,KUG0959+299,x,"('152.50292', '30.05583')","(150.59661, 29.72593)",416.034671572,x,1004.2,14.14403573,x,2.0,1.4,45.6,74.0,27.3,27.3,0,x,x,x,x,0.002554
TON488,UGC05464,x,"('152.50292', '30.05583')","(152.03211, 29.5429)",200.709251863,x,1245.1,17.53677262,x,7.4,4.6,51.7,135.0,6.5,6.5,UGC5464,.S..9..,51.9,135.0,Sm,0.003344
