AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SBS1122+594,SDSSJ113005.21+582818.0,x,"('171.47375', '59.17278')","(172.52175, 58.47169)",373.37886869,x,1713.4,24.13263796,x,5.1,1.1,77.9,88.0,50.5,50.5,0,x,x,x,x,0.005031
SBS1122+594,CGCG291-076,x,"('171.47375', '59.17278')","(172.57199, 58.13391)",485.436688433,x,1665.7,23.46005658,x,7.8,6.9,27.1,x,x,x,0,x,x,x,SA(s)m:,0.004867
SBS1122+594,MCG+10-17-017,x,"('171.47375', '59.17278')","(173.82558, 58.88854)",377.599769592,x,1235.7,17.40449196,x,4.1,2.2,56.6,35.0,41.7,41.7,0,x,x,x,x,0.00344
SBS1122+594,NGC3610,x,"('171.47375', '59.17278')","(169.6053, 58.78628)",486.748680451,x,1906.2,26.88,x,20.2,14.6,43.9,135.0,23.0,23.0,NGC3610,.E.5.*.,31.7,-99,SB(r)0^0^ pec,0.005684
SBS1122+594,SDSSJ112149.19+585434.0,x,"('171.47375', '59.17278')","(170.45496, 58.90944)",244.873731609,x,1698.4,23.92109126,x,1.5,1.2,35.9,147.0,30.2,30.2,0,x,x,x,x,0.004991
SBS1122+594,SDSSJ112150.23+585638.7,x,"('171.47375', '59.17278')","(170.45933, 58.9441)",265.468946125,x,1896.3,26.7081168,x,3.3,3.1,19.9,54.0,59.7,59.7,0,x,x,x,x,0.005651
SBS1122+594,NGC3642,x,"('171.47375', '59.17278')","(170.57455, 59.07451)",226.448446243,x,1789.9,27.5,x,22.7,22.5,8.1,75.0,27.0,27.0,NGC3642,.SAR4*.,33.7,105.0,SA(r)bc:;LINER Sy3,0.005297
SBS1122+594,SDSSJ112235.67+585840.5,x,"('171.47375', '59.17278')","(170.64866, 58.97794)",166.936893494,x,1455.3,20.49709727,x,3.7,1.9,59.3,161.0,46.3,46.3,0,x,x,x,x,0.004181
SBS1122+594,SBS1119+586,x,"('171.47375', '59.17278')","(170.65738, 58.32853)",415.046874155,x,1787.6,25.17779297,x,3.6,2.0,57.3,18.0,44.4,44.4,0,x,x,x,x,0.00528
SBS1122+594,SDSSJ112625.96+591737.4,x,"('171.47375', '59.17278')","(171.6082, 59.29375)",52.8099857621,x,1543.8,21.74407849,x,3.4,2.4,44.8,128.0,22.3,22.3,0,x,x,x,x,0.004476
SBS1122+594,IC0691,x,"('171.47375', '59.17278')","(171.68465, 59.15543)",45.2884126393,x,1399.4,23.700001,x,6.9,5.1,42.3,155.0,74.1,74.1,IC691,.I?....,48.6,150.0,I?;WR?         HII,0.003992
SBS1122+594,SDSSJ112725.46+583820.0,x,"('171.47375', '59.17278')","(171.85612, 58.63889)",200.432195675,x,1432.4,20.17420515,x,4.0,1.2,72.5,143.0,57.2,57.2,0,x,x,x,x,0.004096
