AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,NGC4479,72,"('187.804583333', '12.0519444444')","(187.57655, 13.57764)",3.189136226177899e-15,1.8039360850369514e-105,84.52560428369547,31.149622790653503,483.0290799630207,x,1176.0,876.0,-170.0,17.95,x,9.9,5.1,58.7,15.0,23.3,NGC4479,.LBS0*$,33.7,-99,SB(s)0^0^:?,SB(s)0^0^:?,0.002922
MS1228.6+1219,1046,IC3583,72,"('187.804583333', '12.0519444444')","(189.18121, 13.25933)",2.5475757056253717e-16,5.806967992463445e-153,74.84518802278988,23.912068082873972,447.6067288154487,x,1420.7,1121.0,75.0,14.2,x,8.3,4.3,59.3,360.0,48.1,IC3583,.IB.9..,59.1,0.0,SmIII          HII,SmIII          HII,0.003739
MS1228.6+1219,1046,IC3468,72,"('187.804583333', '12.0519444444')","(188.05922, 10.25146)",7.44942957934342e-18,9.662177538021633e-136,80.95678157068662,28.361188268477047,498.8822933047896,x,1587.6,1288.0,242.0,15.725,x,9.3,6.9,42.3,140.0,32.1,IC3468,.E.....,24.2,-99,"E1,N","E1,N",0.004296
MS1228.6+1219,1046,IC3363,72,"('187.804583333', '12.0519444444')","(186.76279, 12.56082)",2.9822156604111064e-18,0.0,51.2928054998064,10.516273104099188,321.9751999067785,x,1151.0,851.0,-195.0,16.21117806,x,4.8,1.3,74.9,115.0,1.5,IC3363,.E?....,69.7,-99,dE7,dE7,0.002837
MS1228.6+1219,1046,VCC1512,72,"('187.804583333', '12.0519444444')","(188.3944, 11.26195)",2.4957036935684333e-19,0.0,49.05876764093103,9.545941546018392,313.43195536825027,x,1061.8,762.0,-284.0,18.35,x,4.5,3.5,38.7,x,x,VCC1512,.L?....,39.1,-99,S0?,S0?,0.002542
MS1228.6+1219,1046,VCC1565,72,"('187.804583333', '12.0519444444')","(188.62681, 11.73438)",1.853590462161231e-21,0.0,39.60724351420745,5.994747701113033,273.39661889177216,x,1285.8,986.0,-60.0,18.1096641,x,3.3,3.1,19.9,162.0,50.4,0,x,x,x,"dE0,N","dE0,N",0.003289
MS1228.6+1219,1046,VCC1153,72,"('187.804583333', '12.0519444444')","(187.24923, 12.64841)",4.784279437211379e-22,0.0,32.702323169085005,3.952847075210474,226.736874965515,x,1144.0,844.0,-202.0,16.11249096,x,2.5,1.5,52.4,48.0,89.7,0,x,x,x,dE5:,dE5:,0.002816
MS1228.6+1219,1046,VCC1148,72,"('187.804583333', '12.0519444444')","(187.24225, 12.66175)",1.2986799562749002e-22,0.0,50.55306852161237,10.189357192679037,346.406574669954,x,1717.0,1417.0,371.0,24.18292223,x,4.7,4.1,28.4,155.0,17.0,0,x,x,x,E0,E0,0.004725
MS1228.6+1219,1046,IC3540,72,"('187.804583333', '12.0519444444')","(188.86347, 12.75024)",1.1716966181203335e-23,0.0,45.22945909746485,8.0,321.72035476889346,x,1048.8,749.0,-297.0,14.77197944,x,4.0,3.3,34.9,65.0,9.0,IC3540,.L?....,37.4,-99,S0(2),S0(2),0.002497
MS1228.6+1219,1046,SDSSJ123214.57+120305.3,72,"('187.804583333', '12.0519444444')","(188.06075, 12.0515)",2.1052368682262542e-26,0.0,12.215868886348156,0.46475800154489,93.35376628459382,x,1515.9,1216.0,170.0,21.35061131,x,0.6,0.5,27.3,x,x,0,x,x,x,x,x,0.004056
