Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC3067,3C232,Lya,"914, 2162",1,1467,3822,76,1.97E+15,1.85E+14,386.5,5.5,643.5,9.1,hard to fit,0.5306,,,,,194.17æ,52.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3067,3C232,Lya,"4434, 4640",5,4528,128,26,2.57E+13,5.70E+12,76.8,5.1,127.8,8.5,"hard to fit, low res",0.5306,,,,,194.17æ,54.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
