2600.1841	0.0837	0.003
2600.2075	0.0967	0.003
2600.2307	-0.0309	0
2600.2542	0.0869	0.003
2600.2776	0.0476	0.002
2600.301	0.0084	0.001
2600.3242	0.0771	0.003
2600.3477	-0.0112	0
2600.3711	0.0967	0.003
2600.3943	0.0967	0.003
2600.4177	0.018	0.001
2600.4412	0.1453	0.004
2600.4644	0.018	0.001
2600.4878	0.0963	0.003
2600.5112	0.0867	0.003
2600.5347	-0.0114	0
2600.5579	0.0867	0.003
2600.5813	0.1651	0.004
2600.6047	0.1557	0.004
2600.6279	0.1949	0.005
2600.6514	0.1458	0.004
2600.6748	0.3224	0.006
2600.698	0.2929	0.006
2600.7214	0.3322	0.006
2600.7449	0.4204	0.007
2600.7683	0.3518	0.006
2600.7915	0.3811	0.007
2600.8149	0.283	0.006
2600.8384	0.283	0.006
2600.8616	0.3026	0.006
2600.885	0.4998	0.007
2600.9084	0.431	0.007
2600.9316	0.3623	0.006
2600.9551	0.3721	0.006
2600.9785	0.1555	0.004
2601.0017	0.2634	0.005
2601.0251	0.2634	0.005
2601.0486	0.283	0.006
2601.0718	0.2824	0.006
2601.0952	0.3803	0.007
2601.1187	0.3509	0.006
2601.1421	0.2138	0.005
2601.1653	0.409	0.007
2601.1887	0.2818	0.006
2601.2122	0.4188	0.007
2601.2354	0.3601	0.006
2601.2588	0.3499	0.006
2601.2822	0.3205	0.006
2601.3054	0.5258	0.008
2601.3289	0.3205	0.006
2601.3523	0.3403	0.006
2601.3755	0.2034	0.005
2601.3989	0.2914	0.006
2601.4224	0.2718	0.006
2601.4456	0.37	0.006
2601.469	0.3407	0.006
2601.4924	0.3504	0.006
2601.5156	0.3798	0.007
2601.5391	0.4782	0.007
2601.5625	0.3998	0.007
2601.5857	0.4292	0.007
2601.6091	0.4194	0.007
2601.6326	0.4484	0.007
2601.6558	0.2624	0.005
2601.6792	0.282	0.006
2601.7026	0.2722	0.006
2601.7258	0.4585	0.007
2601.7493	0.3802	0.007
2601.7727	0.4683	0.007
2601.7959	0.2627	0.005
2601.8193	0.468	0.007
2601.8428	0.419	0.007
2601.866	0.4092	0.007
2601.8894	0.4288	0.007
2601.9128	0.3694	0.006
2601.936	0.301	0.006
2601.9595	0.3987	0.007
2601.9829	0.2814	0.006
2602.0061	0.3002	0.006
2602.0295	0.4953	0.007
2602.053	0.427	0.007
2602.0762	0.3587	0.006
2602.0996	0.601	0.008
2602.123	0.4355	0.007
2602.1462	0.3186	0.006
2602.1697	0.3868	0.007
2602.1931	0.2311	0.005
2602.2163	0.3967	0.007
2602.2397	0.3187	0.006
2602.2632	0.3187	0.006
2602.2864	0.417	0.007
2602.3098	0.417	0.007
2602.3333	0.3975	0.007
2602.3564	0.3487	0.006
2602.3799	0.3588	0.006
2602.4033	0.4954	0.007
2602.4265	0.4661	0.007
2602.45	0.4271	0.007
2602.4734	0.4865	0.007
2602.4966	0.2227	0.005
2602.52	0.3595	0.006
2602.5435	0.2813	0.006
2602.5667	0.5248	0.008
2602.5901	0.3589	0.006
2602.6133	0.3296	0.006
2602.6367	0.3979	0.007
2602.6602	0.3877	0.007
2602.6833	0.3291	0.006
2602.7068	0.3779	0.006
2602.7302	0.2511	0.005
2602.7534	0.4373	0.007
2602.7769	0.5251	0.008
2602.8003	0.3103	0.006
2602.8235	0.447	0.007
2602.8469	0.3694	0.006
2602.8704	0.2131	0.005
2602.8936	0.3108	0.006
2602.917	0.4378	0.007
2602.9402	0.2632	0.005
2602.9636	0.2436	0.005
2602.9871	0.3808	0.007
2603.0103	0.322	0.006
2603.0337	0.2537	0.005
2603.0571	0.4497	0.007
2603.0803	0.3321	0.006
2603.1038	0.3713	0.006
2603.1272	0.3706	0.006
2603.1504	0.4	0.007
2603.1738	0.351	0.006
2603.1973	0.3804	0.007
2603.2205	0.357	0.006
2603.2439	0.2396	0.005
2603.2671	0.344	0.006
