AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J0714.5+7408,2560,UGC03730NED02,3,"('108.65083', '74.13639')","(108.58467, 73.47342)",2.11982528561e-07,1.2687200593e-19,123.244434428,70.7121700982,458.027672468,x,2809.4,249.4,39.56875494,x,17.1,10.9,50.2,5.0,3.4,UGC3730,.RING..,58.3,165.0,Ring,Ring,0.0091
RX_J0714.5+7408,2560,UGC03705,3,"('108.65083', '74.13639')","(108.04654, 73.47061)",6.52654067739e-10,1.55946398332e-40,104.160321298,49.0520539835,466.903097485,x,2765.6,205.6,38.95236547,x,13.4,13.1,11.5,75.0,61.1,UGC3705,.S?....,21.1,-99,S?,S?,0.008956
RX_J0714.5+7408,2560,UGC03730NED01,3,"('108.65083', '74.13639')","(108.58571, 73.48064)",3.62806942427e-11,1.3418921379e-54,95.968211977,41.0506881794,454.166066185,x,2816.4,256.4,39.66729943,x,11.9,7.9,48.7,160.0,21.6,UGC3730,.RING..,58.3,165.0,S0 pec (Ring A),S0 pec (Ring A),0.009123
