AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MRC2251-178,3222,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000267318106137,1.16877851962e-10,121.74843978,68.8595091472,319.511724761,x,2990.5,-231.5,42.12023615,x,16.8,10.1,53.1,40.0,55.6,ESO603-G27,.IBS9..,52.9,40.0,IB(s)m,IB(s)m,0.010898
MRC2251-178,3222,2dFGRSS924Z198,3,"('343.52458', '-17.58194')","(343.36075, -17.82269)",2.16552860742e-26,0.0,27.0607596939,2.6189692629,202.562119504,x,2872.0,-350.0,40.45110964,x,1.9,1.4,41.4,x,x,0,x,x,x,x,x,0.0105
MRC2251-178,3222,ESO603-IG023NED02,3,"('343.52458', '-17.58194')","(343.12154, -17.1805)",-99,-99,-99,-99,410.866683619,x,3006.3,-215.7,42.34236638,x,x,x,x,x,x,0,x,x,x,x,x,0.010948
