AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SDSSJ080838.80+051440.0,UGC04239,x,"('122.16167', '5.24444')","(121.99208, 5.20667)",378.3226481236468,x,8893.1,125.2551175,x,55.8,40.2,43.9,115.0,x,x,0,x,x,x,S,0.02923
SDSSJ080838.80+051440.0,SDSSJ080901.35+051832.7,x,"('122.16167', '5.24444')","(122.25562, 5.30908)",239.17465872238407,x,8556.4,120.5129961,x,15.4,7.7,60.0,17.0,x,x,0,x,x,x,x,0.028104
