status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
new,EC09452-1403,EC09452-1403,EC09452-1403,EC09452-1403,EC09452-1403,[]
new,EC1107-42912,EC1107-42912,2MASSJ110951.54-292842.6,EC1107-42912,EC1107-42912,[]
new,CD-38.13815,EC19586-3823,EC19586-3823,EC19586-3823,EC19586-3823,['EC19586-3823']
OK,EC20011-5005,EC20011-5005,GSC08400-01365,EC20011-5005,EC20011-5005,[]
new,CD-24.16312,EC20485-2420,EC20485-2420,EC20485-2420,EC20485-2420,['EC20485-2420']
OK,ESO031-G08,ESO031-G08,ESO031-G08,ESO031-G08,ESO-031--G-008,"['1H0307-722', 'ESO-LV0310080', 'ESO030740-7301.4', 'ESO031-G8', 'H0307-730']"
OK,ESO141-G55,ESO141-G55,ESO141-G55,ESO141-G55,"ESO-141-55,ESO141-55,ESO141-G55","['ESO-LV1410550', 'ESO191657-5845.9', 'IRAS19169-5845', 'IRAS_F19169-5845']"
OK,ESO265-G23,ESO265-G23,ESO265-G23,ESO265-G23,ESO265-G23,"['1H1118-431', 'ESO-LV2650230', 'ESO111825-4259.4', 'H1118-429', 'IRAS11184-4259', 'IRAS_F11184-4259']"
OK,ESO267-G13,ESO267-G13,ESO267-G13,ESO267-G13,ESO267-013,"['ESO-LV2670130', 'ESO120218-4327.2', 'FAIRALL155', 'IRAS12023-4327']"
OK,ESO292-G24,ESO292-G24,ESO292-G24,ESO292-G24,ESO292-G24,"['ESO-LV2920240', 'ESO234422-4502.4', 'IRAS23443-4502', 'IRAS_F23443-4502']"
OK,ESO350-IG38,ESO350-IG38,ESO350-IG38,ESO350-IG38,"ESO003426-3349,HARO11","['ESO-LV3500380', 'ESO003426-3349.9', 'ESO350-IG38NED03', 'HARO11', 'IRAS00344-3349', 'IRAS_F00344-3349']"
