AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
2dFGRSS394Z150,UMaDwarf,"('41.55542', '-30.495')","('158.72', '51.92')",229.068570047,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.1312,RT,[]
2dFGRSS394Z150,NGC1097,"('41.55542', '-30.495')","('41.57937', '-30.27489')",77.3172309441,1029.79,20.038,54.21,36.72,x,47,x,130,55.4,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,0.1312,RT,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
2dFGRSS394Z150,2dFGRSS393Z025,"('41.55542', '-30.495')","('41.89079', '-30.50036')",354.727373138,4992.82,70.32145393,11.86,2.45,0.0504,78,x,x,x,x,x,0.017457,0.1312,RT,[]
SDSSJ080250.09+190119.2,UMaDwarf,"('120.70875', '19.02194')","('158.72', '51.92')",78.0525210207,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.12304,RT,[]
KUG0820+282,UMaDwarf,"('125.97917', '28.10389')","('158.72', '51.92')",60.0475322527,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0468,RT,[]
KUG0820+282,IC2361,"('125.97917', '28.10389')","('126.43541', '27.87457')",253.12417821,2221.26,31.28540169,12.59,4.28,0.1858,70,75,78,44.7,.S?....,S?,0.006878,0.0468,RT,[]
KUG0820+282,UGC04395,"('125.97917', '28.10389')","('126.44834', '28.11814')",278.957746037,2351.28,38.6,10.22,2.66,0.1764,74,155,x,67.0,x,Sc,0.007312,0.0468,RT,[]
SDSSJ090704.80+532656.7,UMaDwarf,"('136.77', '53.44917')","('158.72', '51.92')",23.5154434755,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0299,RT,[]
SDSSJ090704.80+532656.7,NGC2756,"('136.77', '53.44917')","('137.25386', '53.84953')",448.680759156,4145.17,52.200001,26.62,16.51,2.216,51,5,0,30.7,.S..3..,Sb,0.013272,0.0299,RT,[]
SDSSJ090704.80+532656.7,MCG+09-15-087,"('136.77', '53.44917')","('136.6938', '53.77616')",336.268826834,4144.02,58.36653501,14.26,5.42,0.0706,67,110,x,62.1,x,Irr(f),0.013273,0.0299,RT,[]
6dFJ1015592-274829,UMaDwarf,"('153.99667', '-27.80778')","('158.72', '51.92')",140.73287467,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0,PL,[]
6dFJ1015592-274829,2MASXJ10160684-2747595,"('153.99667', '-27.80778')","('154.02858', '-27.8')",19.0094736803,2641.2,37.20001458,x,x,0.1335,x,x,x,x,x,N,0.008189,0,PL,[]
6dFJ1015592-274829,NGC3175,"('153.99667', '-27.80778')","('153.67546', '-28.87206')",338.260476658,1283.05,17.6,30.68,9.82,0.0422,71,56,56,41.1,.SXS1$.,SAB(s)b        HII,0.003673,0,PL,"[('LGG189', '17.597695964', '0.812775857675')]"
6dFJ1015592-274829,NGC3173,"('153.99667', '-27.80778')","('153.64529', '-27.69283')",220.498274999,2705.58,38.10682255,23.28,18.84,x,36,x,7,76.7,.SAS5..,SA(s)c,0.008406,0,PL,[]
SDSSJ102548.38+362258.4,UMaDwarf,"('156.45125', '36.38278')","('158.72', '51.92')",27.5351160091,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.1265,NP,[]
NGC3256,UMaDwarf,"('156.96375', '-43.90333')","('158.72', '51.92')",168.936886554,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0091,RT,[]
NGC3256,6dFJ1025522-434453,"('156.96375', '-43.90333')","('156.46783', '-43.748')",283.702994156,2958.91,41.67473931,x,x,0.0733,x,x,85,28.5,.SBS9P*,x,0.009417,0.0091,RT,[]
NGC3256,NGC3263,"('156.96375', '-43.90333')","('157.30567', '-44.12292')",224.979804575,3137.97,39.099998,58.01,15.92,0.1279,74,x,x,x,x,SB(rs)cd: sp,0.010012,0.0091,RT,"[('LGG204', '43.0471330567', '0.277632850861')]"
NGC3256,NGC3261,"('156.96375', '-43.90333')","('157.25608', '-44.65683')",455.87318598,2696.78,33.400002,35.95,27.2,0.2299,40,x,85,79.4,.SBT3..,SB(rs)bc,0.008549,0.0091,RT,"[('LGG198', '39.8731596133', '0.473901657609')]"
NGC3256,NGC3256C,"('156.96375', '-43.90333')","('157.27392', '-43.84928')",161.490233059,2855.99,40.22523053,28.61,16.59,1.531,54,90,159,13.6,.SBT7..,SB(rs)d,0.00907,0.0091,RT,"[('LGG198', '39.8731596133', '0.473901657609')]"
NGC3256,NGC3256B,"('156.96375', '-43.90333')","('157.25446', '-44.40289')",319.356296508,2848.78,33.8,23.02,6.91,0.706,72,135,135,22.3,.SBS4*.,SA(s)b,0.009053,0.0091,RT,[]
NGC3256,2MFGC08149,"('156.96375', '-43.90333')","('157.56396', '-44.30806')",467.795010673,3218.71,45.33390316,18.46,5.27,0.3106,73,x,13,59.9,.SBS7*.,SB(s)d:,0.010284,0.0091,RT,[]
NGC3256,MCG-07-22-003,"('156.96375', '-43.90333')","('156.19775', '-43.96433')",411.952411644,3019.56,42.52902305,16.08,13.61,0.9057,32,x,-99,x,PLAS-*.,(R')SA(s)0-:,0.009623,0.0091,RT,[]
NGC3256,NGC3262,"('156.96375', '-43.90333')","('157.27596', '-44.15967')",251.254607675,2999.78,42.25036273,13.52,11.06,0.1523,35,x,108,30.7,.LXT+P.,SAB(rs)a,0.009553,0.0091,RT,[]
NGC3256,NGC3256A,"('156.96375', '-43.90333')","('156.46268', '-43.7481')",258.519607231,2979.9,37.65,10.66,3.63,0.2704,70,100,85,13.3,.SBS9P*,SB(s)m pec:,0.009487,0.0091,RT,[]
SDSSJ105330.82+523752.8,UMaDwarf,"('163.37833', '52.63111')","('158.72', '51.92')",5.17738340768,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.2526,NP,[]
SDSSJ105330.82+523752.8,MRK0153,"('163.37833', '52.63111')","('162.27097', '52.3355')",466.491705591,2604.71,36.299999,11.18,6.26,0.202,55,x,-99,x,.S?....,Scp,0.00797,0.2526,NP,[]
SDSSJ111323.88+293039.3,UMaDwarf,"('168.34917', '29.51083')","('158.72', '51.92')",41.4601346538,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.1001,DG,[]
SDSSJ111323.88+293039.3,UGC06271,"('168.34917', '29.51083')","('168.65504', '30.31414')",474.696005367,2282.77,32.15173222,10.3,4.74,0.0254,62,50,52,31.7,.S..1..,Sa,0.006701,0.1001,DG,[]
SDSSJ113722.13+352426.6,UMaDwarf,"('174.34208', '35.40722')","('158.72', '51.92')",35.1095847124,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.19448,RT,[]
SDSSJ113722.13+352426.6,UGC06526,"('174.34208', '35.40722')","('173.1646', '35.32839')",499.858789704,2110.67,29.72769985,19.5,3.51,0.2636,79,90,90,4.7,.S?....,S?;WR          HII,0.006136,0.19448,RT,"[('GH84', '30.2631679167', '5.33953705805'), ('UZC403', '27.204217565', '0.518496115467')]"
SDSSJ113722.13+352426.6,UGC06603,"('174.34208', '35.40722')","('174.50886', '35.20361')",104.72577742,1907.16,24.5,14.39,3.02,0.1231,77,78,78,68.3,.S..6*.,Scd:,0.005454,0.19448,RT,"[('UZC403', '27.204217565', '0.518496115467')]"
SDSSJ113722.13+352426.6,UGC06570,"('174.34208', '35.40722')","('173.95822', '35.33526')",149.959731015,1899.41,26.75224255,10.34,4.75,0.177,62,120,123,43.0,.S..0..,S0/a           HII,0.00543,0.19448,RT,"[('GH84', '30.2631679167', '5.33953705805'), ('UZC403', '27.204217565', '0.518496115467')]"
SDSSJ113722.13+352426.6,MRK0426,"('174.34208', '35.40722')","('175.20433', '35.20271')",344.037705826,1808.76,26.9,10.32,3.09,0.1358,72,15,-99,88.8,.S?....,dwarf,0.005124,0.19448,RT,[]
NGC4449,UMaDwarf,"('187.0475', '44.09444')","('158.72', '51.92')",35.8559204524,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.00068,DG,[]
NGC4449,UGC07353,"('187.0475', '44.09444')","('184.7396', '47.30397')",466.569266021,695.49,7.444,33.17,16.26,0.0011,60,160,150,7.3,.SXS4..,SAB(s)bc;LINER Sy1.9,0.001494,0.00068,DG,"[('GH94', '17.4955843309', '5.4778720986'), ('LGG290', '10.5679644633', '1.63659764851'), ('UZC480', '12.1018206039', '3.04556111641')]"
NGC4449,MRK1475,"('187.0475', '44.09444')","('187.26797', '43.9796')",355.607353108,7391.02,104.0988411,23.17,20.85,1.243,25,170,x,44.0,x,Compact,0.023797,0.00068,DG,[]
NGC4449,NGC4490,"('187.0475', '44.09444')","('187.651', '41.6439')",377.021757237,828.09,8.675,17.91,7.7,0.024,64,115,125,55.0,.SBS7P.,SB(s)d pec     HII,0.001885,0.00068,DG,[]
NGC4449,UGC07996,"('187.0475', '44.09444')","('192.72109', '41.12046')",458.475874892,571.24,5.126,16.7,13.57,0.0005,35,x,105,21.1,RSAR2..,(R)SA(r)ab;Sy2 LINER,0.001027,0.00068,DG,"[('GH94', '17.4955843309', '5.4778720986'), ('LGG290', '10.5679644633', '1.63659764851')]"
NGC4449,NGC4618,"('187.0475', '44.09444')","('190.38688', '41.15078')",488.453026206,807.91,7.3000002,10.83,5.63,0.2711,58,65,25,75.8,.SBT9..,SB(rs)m        HII,0.001815,0.00068,DG,[]
NGC4449,2MASXJ12284221+4405532,"('187.0475', '44.09444')","('187.17604', '44.09813')",168.484462743,7418.7,104.488728,10.18,10.18,1.7054,0,90,x,2.3,x,x,0.023889,0.00068,DG,[]
HS1231+4814,UMaDwarf,"('188.39583', '47.96667')","('158.72', '51.92')",34.1267000367,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.38178,RT,[]
HS1231+4814,BTS109,"('188.39583', '47.96667')","('184.29208', '47.06361')",460.079349316,642.14,9.044237358,x,x,0.0005,x,x,x,x,x,dE:,0.001314,0.38178,RT,[]
HS1231+4814,UGC07708,"('188.39583', '47.96667')","('188.29614', '48.0496')",246.024147628,9404.33,132.4553197,55.8,15.62,0.1323,73,175,x,33.8,x,Sb,0.030551,0.38178,RT,[]
HS1231+4814,UGC07353,"('188.39583', '47.96667')","('184.7396', '47.30397')",331.435567712,695.49,7.444,33.17,16.26,0.0011,60,160,150,85.1,.SXS4..,SAB(s)bc;LINER Sy1.9,0.001494,0.38178,RT,"[('GH94', '17.4955843309', '5.4778720986'), ('LGG290', '10.5679644633', '1.63659764851'), ('UZC480', '12.1018206039', '3.04556111641')]"
HS1231+4814,2MASXJ12330180+4750556,"('188.39583', '47.96667')","('188.25768', '47.84865')",336.609578785,9127.93,128.5624592,32.85,13.14,0.0461,66,155,x,63.1,x,x,0.029626,0.38178,RT,[]
HS1231+4814,SDSSJ123437.29+480446.3,"('188.39583', '47.96667')","('188.65541', '48.07954')",491.135964456,9648.2,135.8901599,22.08,5.74,21.2571,74,35,x,22.0,x,x,0.031366,0.38178,RT,[]
HS1231+4814,SDSSJ123250.85+475837.9,"('188.39583', '47.96667')","('188.2119', '47.97721')",289.852532139,9540.55,134.3739835,18.46,9.04,x,60,9,x,85.9,x,x,0.031005,0.38178,RT,[]
SDSSJ125013.50+073441.5,UMaDwarf,"('192.55667', '7.57972')","('158.72', '51.92')",92.1775226858,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0382,RT,[]
SDSSJ125013.50+073441.5,NGC4698,"('192.55667', '7.57972')","('192.09545', '8.48738')",419.406226271,1306.86,23.65,27.0,17.82,2.3078,48,170,170,16.7,.SAS2..,SA(s)ab        Sy2,0.003366,0.0382,RT,[]
TOL1247-232,UMaDwarf,"('192.57875', '-23.56583')","('158.72', '51.92')",142.95780212,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.048,NP,[]
SDSSJ130728.69+542649.6,UMaDwarf,"('196.86917', '54.44694')","('158.72', '51.92')",40.0438971323,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.03254,RT,[]
SDSSJ130728.69+542649.6,SDSSJ130753.91+542245.2,"('196.86917', '54.44694')","('196.97463', '54.37925')",215.961785217,9615.19,135.4251737,22.58,4.74,2.0298,77,175,x,37.2,x,x,0.031331,0.03254,RT,[]
SDSSJ130728.69+542649.6,SDSSJ130728.44+542652.4,"('196.86917', '54.44694')","('196.86857', '54.44788')",2.46325195091,9994.01,140.760693,20.56,14.81,x,43,82,x,77.6,x,x,0.032595,0.03254,RT,[]
SDSSJ130728.69+542649.6,2MASXJ13075716+5423105,"('196.86917', '54.44694')","('196.98806', '54.38629')",224.738991855,9937.16,139.9599482,19.81,15.85,0.4308,36,170,x,38.7,x,x,0.032407,0.03254,RT,[]
SDSSJ130728.69+542649.6,SDSSJ130805.18+542529.0,"('196.86917', '54.44694')","('197.02162', '54.42473')",202.653695789,9019.01,127.0282799,10.65,9.59,x,25,12,x,87.9,x,x,0.029343,0.03254,RT,[]
UGC8335,UMaDwarf,"('198.89625', '62.12444')","('158.72', '51.92')",41.6564980781,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.031065,RT,[]
UGC8335,UGC08335NED01,"('198.89625', '62.12444')","('198.87747', '62.12926')",23.2007448949,9423.01,132.7184281,28.76,14.95,0.1656,58,95,x,23.8,x,Sc;LINER       HII,0.030788,0.031065,RT,[]
KISSR1567,UMaDwarf,"('201.2275', '43.79889')","('158.72', '51.92')",51.4616348824,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.04305,RT,[]
KISSR1567,UGC08334,"('201.2275', '43.79889')","('198.95554', '42.02928')",353.244917222,741.26,8.333,28.06,16.28,2.6338,54,98,105,55.2,.SAT4..,SA(rs)bc   HII/LINER,0.001614,0.04305,RT,"[('GH116', '9.74500363685', '1.34416699174'), ('LGG347', '8.32521392743', '1.6806447551')]"
KISSR1567,UGC08493,"('201.2275', '43.79889')","('202.46963', '47.19517')",483.896713556,703.54,7.908,27.14,18.46,0.0145,47,58,163,43.2,.SAS4P.,SA(s)bc pec;HIISy2.5,0.001544,0.04305,RT,"[('GH116', '9.74500363685', '1.34416699174'), ('LGG347', '8.32521392743', '1.6806447551')]"
KISSR1567,SDSSJ132435.20+435111.1,"('201.2275', '43.79889')","('201.14671', '43.85309')",170.918393195,8735.78,123.0390919,24.77,8.67,0.498,69,57,x,75.9,x,x,0.028302,0.04305,RT,[]
KISSR1567,SDSSJ132507.98+434417.7,"('201.2275', '43.79889')","('201.28325', '43.73825')",156.524342804,8747.95,123.2105047,24.27,15.29,0.0362,50,27,x,60.6,x,x,0.028344,0.04305,RT,[]
KISSR1567,UGC08494,"('201.2275', '43.79889')","('202.49829', '47.26614')",494.05327718,705.32,7.908,19.97,19.77,0.0284,8,28,79,13.2,.I.0.P.,SB0_1 pec      LINER,0.001551,0.04305,RT,"[('GH116', '9.74500363685', '1.34416699174'), ('LGG347', '8.32521392743', '1.6806447551')]"
KISSR1567,NGC5145,"('201.2275', '43.79889')","('201.308', '43.26728')",367.296304038,1477.12,39.35,17.63,10.22,1.0931,54,85,90,88.8,.S?....,S?;HII         Sbrst,0.004086,0.04305,RT,[]
KISSR1567,NGC5023,"('201.2275', '43.79889')","('198.0525', '44.04122')",360.302766397,659.81,8.977,16.55,4.3,0.0906,74,26,28,70.0,.S..6*/,Scd,0.001358,0.04305,RT,[]
KISSR1567,NGC5103,"('201.2275', '43.79889')","('200.12533', '43.08397')",403.497131667,1529.65,21.54434634,11.23,4.72,0.2612,65,140,143,88.1,.S?....,Sab,0.004256,0.04305,RT,[]
IRAS_F13369+2907,UMaDwarf,"('204.81708', '28.87361')","('158.72', '51.92')",72.2882588685,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0457,DG,[]
IRAS_F13369+2907,SDSSJ132742.58+303117.3,"('204.81708', '28.87361')","('201.92721', '30.52136')",426.050973998,577.23,8.129987737,x,x,0.0432,x,x,x,x,x,x,0.001,0.0457,DG,[]
IRAS_F13369+2907,RCS05011102617,"('204.81708', '28.87361')","('203.08389', '30.08321')",274.040531778,576.49,8.119588725,x,x,0.0049,x,x,x,x,x,x,0.001,0.0457,DG,[]
IRAS_F13369+2907,RCS05011102214,"('204.81708', '28.87361')","('203.11497', '30.06435')",409.577005323,876.48,12.34478029,x,x,0.0153,x,x,x,x,x,x,0.002,0.0457,DG,[]
IRAS_F13369+2907,UGC08636,"('204.81708', '28.87361')","('204.79517', '28.95922')",216.198322937,10024.8,141.1944149,38.33,29.9,2.6032,38,140,-99,27.4,.S..4..,Sbc            Sbrst,0.032519,0.0457,DG,[]
IRAS_F13369+2907,SDSSJ133923.28+285513.8,"('204.81708', '28.87361')","('204.847', '28.9205')",133.600323732,10118.78,142.5180703,21.12,10.98,0.7379,58,142,x,67.2,x,x,0.032834,0.0457,DG,[]
MRK1486,UMaDwarf,"('209.96208', '57.43944')","('158.72', '51.92')",51.8224229704,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0338,RT,[]
MRK1486,UGC08970,"('209.96208', '57.43944')","('210.70388', '57.97464')",332.918167296,2033.66,28.64311564,11.94,7.88,0.0193,48,170,x,46.7,x,SAdm,0.006121,0.0338,RT,[]
SDSSJ140347.22+062812.1,UMaDwarf,"('210.94667', '6.47')","('158.72', '51.92')",109.907959182,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0843,NP,[]
SDSSJ140347.22+062812.1,UGC08979,"('210.94667', '6.47')","('211.03192', '6.48589')",182.758007491,7709.47,121.5,36.76,9.55,x,74,15,x,64.4,x,Sbc,0.024807,0.0843,NP,[]
SDSSJ140347.22+062812.1,NGC5470,"('210.94667', '6.47')","('211.63296', '6.02969')",258.858493747,1296.9,18.26624529,12.0,1.68,0.1105,82,65,63,57.9,.S..3..,Sb,0.003422,0.0843,NP,[]
SDSSJ142405.72+421646.2,UMaDwarf,"('216.02375', '42.27944')","('158.72', '51.92')",68.9237530344,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.1847,NP,[]
SDSSJ142405.72+421646.2,NGC5608,"('216.02375', '42.27944')","('215.82454', '41.77589')",139.235440402,898.37,15.2,10.3,5.25,0.1144,59,95,95,78.7,.I..9*.,Im:            HII,0.002212,0.1847,NP,[]
SDSSJ143004.07+022213.3,[DS96]1427+0333,"('217.51667', '2.37028')","('217.4731', '3.32951')",497.554872399,2107.91,29.68892237,x,x,0.0087,x,x,x,x,x,x,0.006181,0.353248,RT,[]
SDSSJ143004.07+022213.3,UMaDwarf,"('217.51667', '2.37028')","('158.72', '51.92')",122.340448551,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.353248,RT,[]
SDSSJ143004.07+022213.3,UGC09292,"('217.51667', '2.37028')","('217.29438', '2.287')",481.490293186,8257.38,116.301145,51.54,16.49,2.3384,71,15,x,54.4,x,SABb,0.026695,0.353248,RT,[]
SDSSJ143004.07+022213.3,NGC5638,"('217.51667', '2.37028')","('217.41823', '3.23332')",366.879828264,1930.97,24.2,17.48,15.03,1.3125,30,130,150,43.5,.E.1...,E1,0.005591,0.353248,RT,[]
SDSSJ143004.07+022213.3,UGC09310,"('217.51667', '2.37028')","('217.50458', '3.22056')",448.218812875,2100.73,30.200001,16.56,4.64,0.2332,73,163,x,16.2,x,SBdm,0.006158,0.353248,RT,"[('LGG386', '27.376142128', '1.64874132751'), ('UZC637', '27.4013289943', '2.04587386551')]"
SDSSJ143004.07+022213.3,IC1024,"('217.51667', '2.37028')","('217.86333', '3.00908')",305.185581641,1708.6,24.06472516,11.69,3.74,0.2619,71,30,30,1.5,.L...?.,S0?,0.004853,0.353248,RT,[]
SDSSJ143832.04+390333.7,UMaDwarf,"('219.63333', '39.05917')","('158.72', '51.92')",76.1747366592,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.243415,NP,[]
SDSSJ152141.42+075921.7,UMaDwarf,"('230.4225', '7.98917')","('158.72', '51.92')",127.754024207,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.094275,NP,[]
SDSSJ154459.66+115017.5,UMaDwarf,"('236.24833', '11.83806')","('158.72', '51.92')",128.739078285,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.243546,NP,[]
SDSSJ154459.66+115017.5,UGC10014,"('236.24833', '11.83806')","('236.43319', '12.51058')",362.189546327,1320.36,29.8,12.06,11.45,0.2359,18,x,x,x,x,Im,0.003739,0.243546,NP,[]
HS1606+4345,UMaDwarf,"('242.05125', '43.63')","('158.72', '51.92')",94.2897664489,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0284,DG,[]
SDSSJ161245.52+081701.0,UMaDwarf,"('243.18958', '8.28361')","('158.72', '51.92')",141.168342369,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.149058,NP,[]
KUG1647+298,UMaDwarf,"('252.27167', '29.75889')","('158.72', '51.92')",121.722174136,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0321,DG,[]
KUG1647+298,SDSSJ164859.26+295517.5,"('252.27167', '29.75889')","('252.24692', '29.92154')",391.710242742,9712.73,136.7990053,18.51,15.0,18.6534,35,36,x,43.5,x,x,0.031936,0.0321,DG,[]
IRAS16474+3430,UMaDwarf,"('252.30917', '34.41889')","('158.72', '51.92')",115.641541874,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.11147,PL,[]
IRAS16474+3430,DEEP222100705,"('252.30917', '34.41889')","('252.80739', '34.93478')",341.682306722,2109.85,29.71624927,x,x,x,x,x,x,x,x,x,0.006585,0.11147,PL,[]
IRAS16474+3430,DEEP222059017,"('252.30917', '34.41889')","('252.77129', '35.18124')",203.03964512,969.93,13.66104391,x,x,0.0643,x,x,x,x,x,x,0.002781,0.11147,PL,[]
IRAS16474+3430,DEEP222058057,"('252.30917', '34.41889')","('252.91028', '35.14611')",108.123571453,500.41,7.048062046,x,x,0.0119,x,x,x,x,x,x,0.001218,0.11147,PL,[]
IRAS16474+3430,DEEP222053129,"('252.30917', '34.41889')","('252.73051', '35.07657')",200.079969459,1095.11,15.42414672,x,x,x,x,x,x,x,x,x,0.003199,0.11147,PL,[]
IRAS16474+3430,DEEP222023935,"('252.30917', '34.41889')","('252.49445', '34.84584')",366.321852759,3287.07,46.29675755,x,x,0.0001,x,x,x,x,x,x,0.010506,0.11147,PL,[]
IRAS16474+3430,DEEP222022186,"('252.30917', '34.41889')","('252.74805', '34.88005')",136.066852044,945.09,13.31116872,x,x,0.0429,x,x,x,x,x,x,0.002697,0.11147,PL,[]
IRAS16474+3430,DEEP222022015,"('252.30917', '34.41889')","('252.73659', '34.89202')",306.922221685,2118.13,29.83287413,x,x,x,x,x,x,x,x,x,0.00661,0.11147,PL,[]
IRAS16474+3430,DEEP222015625,"('252.30917', '34.41889')","('252.58678', '34.82299')",464.85889351,4073.72,57.37637349,x,x,0.0103,x,x,x,x,x,x,0.013133,0.11147,PL,[]
IRAS16474+3430,DEEP222008831,"('252.30917', '34.41889')","('252.45772', '34.76594')",121.861492812,1347.23,18.97505586,x,x,x,x,x,x,x,x,x,0.004035,0.11147,PL,[]
IRAS16474+3430,DEEP222001393,"('252.30917', '34.41889')","('252.52129', '34.72551')",409.781536308,4724.0,66.53514725,x,x,x,x,x,x,x,x,x,0.015301,0.11147,PL,[]
IRAS16474+3430,DEEP221048566,"('252.30917', '34.41889')","('252.25841', '35.12958')",202.285498767,1155.9,16.28025061,x,x,0.0122,x,x,x,x,x,x,0.003395,0.11147,PL,[]
IRAS16474+3430,DEEP221045092,"('252.30917', '34.41889')","('251.93816', '35.0812')",241.261702216,1346.13,18.95951447,x,x,0.0044,x,x,x,x,x,x,0.004026,0.11147,PL,[]
IRAS16474+3430,DEEP221030509,"('252.30917', '34.41889')","('252.16206', '34.95476')",169.115030383,1252.31,17.63815743,x,x,0.0615,x,x,x,x,x,x,0.003715,0.11147,PL,[]
IRAS16474+3430,DEEP221028238,"('252.30917', '34.41889')","('251.58138', '34.92673')",259.435548906,1344.52,18.93689984,x,x,x,x,x,x,x,x,x,0.004017,0.11147,PL,[]
IRAS16474+3430,DEEP221018453,"('252.30917', '34.41889')","('252.09135', '34.87464')",244.326392854,2029.6,28.58589757,x,x,x,x,x,x,x,x,x,0.006308,0.11147,PL,[]
IRAS16474+3430,DEEP221016891,"('252.30917', '34.41889')","('252.27335', '34.84387')",53.6075641743,511.91,7.210050212,x,x,x,x,x,x,x,x,x,0.001249,0.11147,PL,[]
IRAS16474+3430,DEEP221014976,"('252.30917', '34.41889')","('251.62943', '34.80579')",405.867471597,2427.37,34.18833275,x,x,x,x,x,x,x,x,x,0.007627,0.11147,PL,[]
IRAS16474+3430,DEEP221004553,"('252.30917', '34.41889')","('252.20651', '34.73365')",367.107362587,4582.2,64.53796629,x,x,x,x,x,x,x,x,x,0.014822,0.11147,PL,[]
NGC4214,UMaDwarf,"('183.91417', '36.32667')","('158.72', '51.92')",41.7121097666,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.001,DG,[]
NGC4214,HS1214+3801,"('183.91417', '36.32667')","('184.29033', '37.74822')",215.037191466,602.08,8.48002332,x,x,x,x,x,x,x,x,SA             HII,0.0011,0.001,DG,[]
NGC4214,HS1213+3636B,"('183.91417', '36.32667')","('183.89489', '36.33081')",1.99170002817,504.03,7.099046669,x,x,0.0029,x,x,x,x,x,dwarf spiral,0.000764,0.001,DG,[]
NGC4214,NGC4395,"('183.91417', '36.32667')","('186.45359', '33.54693')",272.185903331,599.79,4.491,17.24,14.37,0.0028,33,x,147,3.4,.SAS9*.,SA(s)m:;LINER  Sy1.8,0.001064,0.001,DG,[]
NGC4214,NGC4244,"('183.91417', '36.32667')","('184.37358', '37.80711')",123.21828262,515.97,4.629,14.63,4.39,0.149,72,46,48,32.0,.SAS6*/,SA(s)cd: sp    HII,0.000815,0.001,DG,[]
NGC4214,UGC07207,"('183.91417', '36.32667')","('183.07817', '37.01481')",363.891177493,1324.4,21.700001,13.21,6.47,x,60,x,x,x,x,IB(s)m V,0.003506,0.001,DG,[]
NGC4395,UMaDwarf,"('186.45375', '33.54667')","('158.72', '51.92')",47.8250371104,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0011,DG,[]
NGC4395,HS1213+3636B,"('186.45375', '33.54667')","('183.89489', '36.33081')",431.869167687,504.03,7.099046669,x,x,0.0029,x,x,x,x,x,dwarf spiral,0.000764,0.0011,DG,[]
NGC4395,NGC4631,"('186.45375', '33.54667')","('190.53338', '32.5415')",376.343894852,888.08,6.05,24.31,7.29,2.0411,72,84,86,22.5,.SBS7./,SB(s)d         HII,0.002021,0.0011,DG,[]
NGC4395,NGC4244,"('186.45375', '33.54667')","('184.37358', '37.80711')",370.260274661,515.97,4.629,14.63,4.39,0.149,72,46,48,68.1,.SAS6*/,SA(s)cd: sp    HII,0.000815,0.0011,DG,[]
NGC4395,NGC4203,"('186.45375', '33.54667')","('183.77106', '33.19733')",492.010510749,1367.09,12.433,12.89,12.11,0.5371,20,5,10,76.1,.LX.-*.,SAB0-:;LINER   Sy3,0.003623,0.0011,DG,[]
