AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
MRK421,CGCG213-027,"('166.11333', '38.20889')","('166.34124', '38.23384')",390.750405132,8792.76,123.8416947,25.04,22.03,0.128,28,75,x,7.1,x,AGN2,0.028474,0.03,SP,"[('UZC351', '126.079735367', '3.24248452559')]"
MRK421,CGCG184-053,"('166.11333', '38.20889')","('166.28762', '38.07017')",421.162285998,8785.02,123.7326427,23.4,11.16,0.3474,61,x,x,x,x,x,0.028446,0.03,SP,"[('UZC351', '126.079735367', '3.24248452559')]"
MRK421,2MASXJ11044470+3800203,"('166.11333', '38.20889')","('166.18631', '38.00552')",482.3316511,9285.01,130.7747241,14.39,9.5,0.1342,48,85,x,79.3,x,x,0.030114,0.03,SP,[]
MRK421,SDSSJ110409.96+381203.6,"('166.11333', '38.20889')","('166.04154', '38.20101')",130.967258791,9353.4,131.7380916,12.02,10.34,0.1362,30,78,x,4.0,x,x,0.030343,0.03,SP,[]
KAZ49,UMaDwarf,"('239.26375', '63.84111')","('158.72', '51.92')",72.8128622371,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0301,SP,[]
KAZ49,UGC10115,"('239.26375', '63.84111')","('239.28265', '63.9175')",177.532749618,9398.57,132.3741766,55.51,32.2,8.0341,54,125,140,61.2,.E.....,E,0.030888,0.0301,SP,[]
KAZ49,CGCG319-037,"('239.26375', '63.84111')","('239.4615', '64.00514')",433.753788993,9505.05,133.8739331,26.35,25.3,0.1669,16,55,x,27.0,x,x,0.031245,0.0301,SP,[]
KAZ49,NGC6015,"('239.26375', '63.84111')","('237.85512', '62.31003')",485.033884604,971.83,16.756,25.04,12.27,0.9075,60,36,28,13.9,.SAS6..,SA(s)cd        HII,0.002759,0.0301,SP,[]
NGC6090,UMaDwarf,"('242.9175', '52.45639')","('158.72', '51.92')",85.5623622159,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0302,DG,[]
NGC6090,NGC6090NED02,"('242.9175', '52.45639')","('242.92007', '52.45748')",4.21359123299,8983.52,126.5284009,50.24,45.22,0.613,25,125,-99,69.8,.L?....,Sd pec;WR      HII,0.029456,0.0302,DG,[]
NGC6090,CGCG275-028,"('242.9175', '52.45639')","('242.84831', '52.45478')",93.4905318552,9013.71,126.9536035,28.44,25.03,x,28,20,x,67.8,x,x,0.029557,0.0302,DG,[]
NGC6090,2MASXJ16104885+5237595,"('242.9175', '52.45639')","('242.70366', '52.63308')",487.086077276,9031.8,127.208466,22.7,14.52,0.6936,50,30,x,66.4,x,x,0.029616,0.0302,DG,[]
MRK279,UMaDwarf,"('208.26458', '69.30833')","('158.72', '51.92')",50.4588179651,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0305,SP,[]
MRK279,MCG+12-13-024,"('208.26458', '69.30833')","('208.29888', '69.31172')",29.2412784605,9452.91,133.139629,23.17,14.83,0.1745,50,125,x,50.6,x,HII,0.031,0.0305,SP,[]
ESO292-G24,UMaDwarf,"('356.75292', '-44.76194')","('158.72', '51.92')",292.789074166,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0306,SP,[]
ESO292-G24,RFGC4170,"('356.75292', '-44.76194')","('355.64683', '-44.90483')",346.49477078,1240.41,24.9,13.93,1.95,0.2441,82,80,86,0.3,.S?....,Scd?,0.004974,0.0306,SP,[]
MRK817,UMaDwarf,"('219.09208', '58.79444')","('158.72', '51.92')",59.5364992794,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0315,SP,[]
MRK817,PWWFJ1437+5905,"('219.09208', '58.79444')","('219.25833', '59.09861')",187.790568367,2417.29,34.04637755,x,x,0.0102,x,x,x,x,x,x,0.007448,0.0315,SP,[]
MRK817,2MASXJ14362084+5845279,"('219.09208', '58.79444')","('219.0864', '58.75738')",90.4615677795,9898.59,139.4167387,20.14,9.27,0.7546,62,35,x,30.5,x,x,0.0324,0.0315,SP,[]
MRK817,UGC09391,"('219.09208', '58.79444')","('218.65425', '59.33781')",341.994958843,2098.39,33.317,16.0,9.44,0.2556,53,20,20,42.7,.SB.8..,SBdm,0.006384,0.0315,SP,[]
HE0003-5023,UMaDwarf,"('1.42917', '-50.11528')","('158.72', '51.92')",292.022834099,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.033,DG,[]
KISSR2019,UMaDwarf,"('236.43542', '44.26417')","('158.72', '51.92')",88.0609028302,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0342,DG,[]
KISSR2019,SDSSJ154542.13+443040.4,"('236.43542', '44.26417')","('236.42554', '44.51122')",362.89449408,5973.09,84.12805881,13.69,4.24,0.0232,71,71,x,72.6,x,x,0.019318,0.0342,DG,[]
