"IC5325" Galaxy 23 28 43.4304 -41 20 0.492 2000.0
"CGCG072-007" Galaxy 13 9 14.9448 8 31 54.192 2000.0
"NGC4517A" Galaxy 12 32 28.1568 0 23 22.812 2000.0
"2MASXJ20060836-4142348" Galaxy 20 6 8.34 -41 42 35.1 2000.0
"2MASXJ06214931-6443191" Galaxy 6 21 49.2912 -64 43 18.984 2000.0
"NGC5786" Galaxy 14 58 56.2608 -42 0 48.096 2000.0
"NGC1566" Galaxy 4 20 0.42 -54 56 16.116 2000.0
"2MASXJ02001568+0011574" Galaxy 2 0 15.672 0 11 57.264 2000.0
"NGC4307" Galaxy 12 22 5.6832 9 2 37.068 2000.0
"IC3255" Galaxy 12 23 34.74 9 38 54.996 2000.0
"NGC2855" Galaxy 9 21 27.4896 -11 54 34.2 2000.0
"NGC2962" Galaxy 9 40 53.9352 5 9 56.916 2000.0
"SDSSJ124044.25+093838.7" Galaxy 12 40 44.2512 9 38 38.796 2000.0
"SDSSJ111429.62+023619.9" Galaxy 11 14 29.628 2 36 19.944 2000.0
"NGC3621" Galaxy 11 18 16.5096 -32 48 50.616 2000.0
"NGC6861D" Galaxy 20 8 19.4808 -48 12 41.112 2000.0
"SDSSJ134151.92+045602.0" Galaxy 13 41 51.9192 4 56 2.004 2000.0
"SDSSJ004320.41-103733.0" Galaxy 0 43 20.4168 -10 37 33.024 2000.0
"HIPASSJ2254-18" Galaxy 22 54 35.376 -18 0 1.944 2000.0
"SDSSJ091356.06+084213.0" Galaxy 9 13 56.0688 8 42 13.068 2000.0
"SDSSJ122929.52+021150.4" Galaxy 12 29 29.52 2 11 50.496 2000.0
"MCG-01-06-075" Galaxy 2 13 27.7824 -7 41 50.136 2000.0
"ESO107-G037" Galaxy 21 35 47.2152 -62 46 38.244 2000.0
"NGC5356" Galaxy 13 54 58.4592 5 20 1.392 2000.0
"2MASXJ06215512-6449011" Galaxy 6 21 55.1496 -64 49 0.804 2000.0
"MCG-07-45-002" Galaxy 21 59 17.8392 -43 52 1.308 2000.0
"MCG-01-06-074" Galaxy 2 13 23.8104 -7 43 55.596 2000.0
"NGC2228" Galaxy 6 21 15.54 -64 27 31.788 2000.0
"2MASXJ11383327-1344240" Galaxy 11 38 33.264 -13 44 24.54 2000.0
"UGC09746" Galaxy 15 10 16.5504 1 56 3.372 2000.0
"UGC08153" Galaxy 13 3 5.916 3 59 30.768 2000.0
"MCG-02-24-012" Galaxy 9 20 39.3696 -12 36 13.788 2000.0
"MCG-02-34-006" Galaxy 13 9 47.5008 -10 19 12.0 2000.0
"2MASXJ06215821-6422591" Galaxy 6 21 58.1904 -64 22 59.196 2000.0
"SDSSJ001248.44-100828.5" Galaxy 0 12 48.4464 -10 8 28.536 2000.0
"KUG0156-001" Galaxy 1 59 11.3472 0 6 35.208 2000.0
"MCG-01-07-020" Galaxy 2 30 41.34 -3 48 42.912 2000.0
"SDSSJ082700.06+073445.7" Galaxy 8 27 0.06 7 34 45.696 2000.0
"2MASXJ06214352-6447321" Galaxy 6 21 43.5 -64 47 32.316 2000.0
"UGC00726" Galaxy 1 9 57.5592 -1 44 58.884 2000.0
"SDSSJ130918.61+083008.6" Galaxy 13 9 18.612 8 30 8.604 2000.0
"RFGC2937" Galaxy 15 14 13.8408 -46 48 28.584 2000.0
"NGC1596" Galaxy 4 27 38.1096 -55 1 40.116 2000.0
"2MASXJ11142264+0234314" Galaxy 11 14 22.6416 2 34 31.692 2000.0
"CGCG383-002" Galaxy 0 21 35.2848 1 9 56.196 2000.0
"UGC06345" Galaxy 11 20 15.6 2 31 31.008 2000.0
"2MASXJ15095716+0712530" Galaxy 15 9 57.1896 7 12 52.74 2000.0
"SDSSJ082644.50+073017.5" Galaxy 8 26 44.5008 7 30 17.568 2000.0
"SDSSJ142932.52+010701.7" Galaxy 14 29 32.5752 1 7 2.604 2000.0
"IC1761" Galaxy 1 58 52.2912 0 34 5.88 2000.0
"IC4943" Galaxy 20 6 28.26 -48 22 32.196 2000.0
"UGC08657" Galaxy 13 41 5.208 5 6 20.88 2000.0
"NGC3604" Galaxy 11 17 30.1752 4 33 20.052 2000.0
"2MASXJ11192130+0412342" Galaxy 11 19 21.3024 4 12 34.056 2000.0
"APMBGC157+004+115" Galaxy 4 24 23.9136 -57 6 52.452 2000.0
"SDSSJ020017.78+003715.5" Galaxy 2 0 17.7888 0 37 15.528 2000.0
"NGC4356" Galaxy 12 24 14.5296 8 32 9.096 2000.0
"NGC4191" Galaxy 12 13 50.4048 7 12 3.24 2000.0
"NGC4266" Galaxy 12 19 42.2952 5 32 17.808 2000.0
