galaxyName,target type,right ascension,declination,AGNname,degreesJ2000RA_DecAGN,equinox,bandpass,minimum magnitude,maximum magnitude,mu,auto_mu,auto_2_mu,ranking,new_ranking,observing time,new_Texp,new_s/n,maximum lunar phase,exposure time,s/n,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,ca_h_k,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),major_radius,minor_radius,angDiameter (arcsec),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
NGC4235,SpiralG,184.29117,7.19158,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')",2000,B,11.89,11.89,,22.02383222,21.39098121,High,check,40,,,25,30,100,SA(s)a         Sy1,0.008039,0.6,pg2300,100,50,6615.558349,3964.617387,61.31144526,2708.22,31.71,113.55,38.605,77.21,"(227.1, 77.21)",0.899835154,x,70,50,50,47.1,.SAS1./,48,[]
NGC3640_ca,EllipticalG,170.27854,3.23483,RX_J1121.2+0326,"('170.30917', '3.42944')",2000,B,11.4,11.4,,21.57116737,20.75145856,High,Medium,70,800,5.5,90,60,97,E3,0.004173,2,pg3000,73,36.5,6590.186564,3949.412409,83.37775179,1534.68,29.6,125.9,100.72,201.44,"(251.8, 201.44)",0.806829,x,36,100,100,88.9,.E.3...,100,[]
CGCG039-137_ca,Galaxy,170.36231,3.44491,RX_J1121.2+0326,"('170.30917', '3.42944')",2000,B,16.1,16.1,,24.46718604,25.1989031,Medium,High,626,6000,2,90,600,41,x,0.023022,3,pg3000,74.5,37.25,6713.888782,4023.545526,97.60481096,7185.99,26.35,26.85,9.665,19.33,"(53.7, 19.33)",0.707969292,x,68,157,145,71.3,x,x,[]
NGC4596,SpiralG,189.98311,10.17614,LBQS1238+1006,"('190.14792', '9.82806')",2000,B,11.5,11.5,,21.64536098,20.42749483,Medium,x,30,,,25,20,100,SB(r)0+       LINER:,0.006238,0.6,pg2300,100,50,6603.738746,3957.534054,112.6124443,2169.2,24.35,149.45,71.735,143.47,"(298.9, 143.47)",0.598918223,x,61,75,75,80,.LBR+..,135,[]
NGC0078A,SpiralG,5.10745,0.82635,UM228,"('5.25417', '0.87972')",2000,B,14.8,14.8,,24.39322303,24.68418171,Medium,low/none,361,,,90,350,100,SB(r)0/a:,0.016942,0.6,pg2300,100,50,6673.986958,3999.632886,183.7299211,4787.73,37.83,57.85,30.08,60.16,"(115.7, 60.16)",0.475719865,"x, close pair with NGC0078B",58,70,70,0,.SBR0*.,80,[]
UGC08979,SpiralG,211.03192,6.48589,SDSSJ140347.22+062812.1,"('210.94667', '6.47')",2000,B,16,16,,24.89169901,25.82187751,Medium,"Med/High, line and alone",476,,,90,450,89,Sbc,0.024807,1,pg2300,97,48.5,6725.60338,4030.565931,182.7580075,7709.47,36.76,31.2,8.11,16.22,"(62.4, 16.22)",0.465437862,"7500, strong but no ID",74,15,15,64.4,x,x,[]
NGC4224,SpiralG,184.14077,7.46209,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')",2000,B,12.52,12.52,,22.22419097,21.80592218,Medium,x,50,,,25,40,100,SA(s)a: sp;Sy  LINER,0.008683,0.6,pg2300,100,50,6619.784792,3967.150239,157.4215864,2901.32,28.72,84.4,43.89,87.78,"(168.8, 87.78)",0.450368196,x,58,55,55,61.3,.SAS1*/,57,[]
NGC0078B_ca,SpiralG,5.11464,0.83355,UM228,"('5.25417', '0.87972')",2000,B,14.5,14.5,,23.91663861,24.30467882,Medium,x,411,,,25,400,77,S0^0^ pec?,0.018436,1,pg3000,73.75,36.875,6683.791781,4005.508788,189.1399684,5235.74,36.47,51,37.74,75.48,"(102.0, 75.48)",0.436868166,"x, close pair with NGC0078A",42,140,140,68.3,.SBR0*.,80,[]
UGC08186,SpiralG,196.49433,3.95644,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')",2000,B,15.35,15.35,,25.24326239,25.95981404,Medium,x,211,,,90,200,74,Scd(f),0.023369,1,pg2300,97,48.5,6716.166073,4024.910277,248.6567219,7298.15,52.84,54.6,13.105,26.21,"(109.2, 26.21)",0.423988777,x,76,105,105,14.1,x,x,[]
MCG-03-58-009,SpiralG,343.42021,-17.47889,MRC2251-178,"('343.52458', '-17.58194')",2000,B,15.04,15.04,,25.2073566,26.19402904,Medium,"High/med, line and alone",211,,,90,200,84,Sc,0.030121,1,pg2300,97.75,48.875,6760.478099,4051.465893,320.0509932,8753.81,67.89,54.7,28.445,56.89,"(109.4, 56.89)",0.365722514,"9051,weak",58,27,175,39,.S?....,27,[]
