galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),angDiameter (arcsec),B_median,Lstar,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
2dFGRSS357Z063,RBS2070,"('359.7825', '-30.6275')","('359.90758', '-30.65589')",239.1202735,8740.05,123.0992462,32.94,22.2,"(55.2, 37.2)",14.97,2.3845,0.217999895,"8966, strong",47,x,x,x,x,x,0.165,0.0301,[]
2MASXJ00413607-1044279,SDSSJ004222.29-103743.8,"('10.59292', '-10.62889')","('10.40036', '-10.74126')",325.2819241,6012.79,84.68720797,26.93,23.16,"(65.6, 56.42)",15.98,0.4659,0.024181958,"6300?, very weak",30,45,14.3,x,x,x,0.4248,0.021055,[]
2MASXJ02001568+0011574,MRK1014,"('29.95917', '0.39472')","('30.0653', '0.19924')",358.5067078,6556.65,92.34725101,22.39,16.57,"(50.0, 37.0)",12.41,14.7012,0.002928177,"0, but 7080",42,110,41.5,x,x,x,0.163,0.022767,[]
2MASXJ02411662-1856546,HE0238-1904,"('40.13583', '-18.86417')","('40.31931', '-18.94847')",350.8673792,7396.69,104.178673,24.7,17.29,"(48.9, 34.23)",16.9,0.3066,0.007601764,maybe 1 weak,45,85,30.9,x,x,S,0.631,0.025514,[]
2MASXJ02412187-1856572,HE0238-1904,"('40.13583', '-18.86417')","('40.34117', '-18.94925')",395.047887,7577.74,106.728793,28.72,17.8,"(55.5, 34.41)",15.12,1.653,0.006581561,maybe 1 weak,51,120,6.4,x,x,S              HII,0.631,0.026118,[]
2MASXJ11005006+1042257,4C10.3,"('165.19958', '10.77056')","('165.20864', '10.70738')",159.4102299,10163.65,143.1499334,20.06,9.91,"(28.9, 14.28)",18.2,x,0.261271485,x,60,35,43,.SXT4..,-99,x,0.42,0.03297,[]
2MASXJ11005426+1041087,4C10.3,"('165.19958', '10.77056')","('165.2262', '10.68571')",213.8473985,9797.67,137.995377,21.21,9.75,"(31.7, 14.58)",18.32,0.1419,0.106824655,x,62,35,52.1,x,x,S0,0.42,0.031749,[]
2MASXJ11383327-1344240,HE1136-1334,"('174.79458', '-13.84528')","('174.6386', '-13.74015')",443.2814439,9779.72,137.7424967,23.11,15.25,"(34.6, 22.84)",14.33,5.7781,0.000196039,lots but no IDs,48,40,84.8,x,x,x,0.558,0.031749,[]
2MASXJ15120762+0131241,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.03175', '1.52328')",282.077182,8774.54,123.5851046,22.53,9.08,"(37.6, 15.15)",16.6,x,0.027865947,"8817, DLA, but already taken above",66,175,65.4,x,x,x,0.265,0.028529,[]
2MASXJ20055352-4144240,RBS1666,"('301.47042', '-41.57833')","('301.47308', '-41.74')",364.8646634,9180.17,129.2981138,25.39,20.82,"(40.5, 33.21)",15.9,x,0.006222429,"9230, unmarked and weak",34,85,85.7,x,x,x,0.079,0.031075,[]
CGCG021-049,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.18209', '1.46487')",68.14797535,9014.97,126.9714565,33.98,27.86,"(55.2, 45.26)",15.4,x,0.888227744,"8817, DLA",34,170,51.7,x,x,x,0.265,0.029334,[]
CGCG031-056,SDSSJ080838.80+051440.0,"('122.16167', '5.24444')","('122.06849', '5.21612')",223.2133956,9359.47,131.8235737,37.39,29.91,"(58.5, 46.8)",15.7,0.2088,0.328114728,"0, but one at 8927, 9760",36,85,12,x,x,x,0.361,0.030786,[]
CGCG039-137,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.36231', '3.44491')",97.60481096,7185.99,101.2111385,26.35,9.48,"(53.7, 19.33)",16.1,0.1558,0.707969292,x,68,145,71.3,x,x,x,0.152,0.023022,[]
CGCG039-137,SDSSJ112224.10+031802.0,"('170.60042', '3.30056')","('170.36231', '3.44491')",491.2464499,7185.99,101.2111385,26.35,9.48,,,0.1558,0.000158738,x,68,145,23.7,x,x,x,0.475,0.023022,[]
CGCG045-071,RX_J1342.1+0505,"('205.5275', '5.08972')","('205.34403', '5.04011')",341.2155551,7330.01,103.2395554,33.99,9.51,"(67.9, 19.01)",14.79,2.0682,0.051290475,"7038, 7114, strong, but confusion with UGC08663",73,175,79.8,x,x,Sb(f),0.266,0.023508,"[('UZC554', '101.288102631', '1.73524340608')]"
CGCG072-007,PG1307+085,"('197.44583', '8.32972')","('197.31227', '8.53172')",439.8537278,7413.25,104.411924,32.75,20.96,"(64.7, 41.41)",15.2,x,0.005541604,"7279, medium",50,10,43.2,x,x,x,0.155,0.023746,[]
DUKST471-050,RBS2070,"('359.7825', '-30.6275')","('359.84183', '-30.80211')",382.1183199,8545.31,120.3565125,32.21,8.75,"(55.2, 15.0)",16.02,x,0.018095895,"maybe 8700, DLA at 8966",74,x,x,x,x,x,0.165,0.02945,[]
IC1746,PHL1226,"('28.61667', '4.80556')","('28.60129', '4.80389')",18.69908469,4934.13,69.49480758,28.3,10.11,"(84.0, 30.0)",14.75,1.0165,0.98857954,?,69,x,9.2,.L.....,93,S0,0.404,0.017342,[]
IC1761,MRK1014,"('29.95917', '0.39472')","('29.71788', '0.5683')",492.273862,6737.4,94.89300155,20.2,16.97,"(43.9, 36.88)",15.16,1.2401,3.12E-06,"7080, medium",32,50,75.7,x,x,S0?,0.163,0.023368,[]
IC3255,LBQS1220+1006,"('185.80042', '9.83861')","('185.89475', '9.64861')",351.7880281,6765.47,95.28834488,21.48,18.04,"(46.5, 39.06)",16.5,0.3594,0.002611635,x,32,155,1.1,x,x,Sbc(s)II,0.276,0.021567,"[('UZC486', '103.220778349', '5.9786354291')]"
