galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,likelihood,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
IC1746,PHL1226,"('28.61667', '4.80556')","('28.60129', '4.80389')",18.69908469,4934.13,69.49480758,28.3,10.11,1.0165,0.98857954,69,x,9.2,.L.....,93,S0,0.404,0.017342,[]
NGC1097,2dFGRSS394Z150,"('41.55542', '-30.495')","('41.57937', '-30.27489')",77.31723094,1029.79,20.038,54.21,36.72,x,0.923042681,47,x,55.4,.SBS3..,130,(R'_1:)SB(r'l)bSy1,0.1312,0.00424,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
NGC4235,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.29117', '7.19158')",61.31144526,2708.22,28.8,31.71,10.78,2.2588,0.899835154,70,50,47.1,.SAS1./,48,SA(s)a         Sy1,0.587,0.008039,[]
CGCG021-049,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.18209', '1.46487')",68.14797535,9014.97,126.9714565,33.98,27.86,x,0.888227744,34,170,51.7,x,x,x,0.265,0.029334,[]
NGC3513,H1101-232,"('165.90708', '-23.49194')","('165.942', '-23.2455')",57.05013018,1418.58,13.153,20.88,7.94,0.5076,0.849878689,67,120,67.4,.SBT5..,75,SB(s)c         HII,0.186,0.003983,[]
NGC1097,2dFGRS_S393Z082,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",111.9452231,1029.79,20.038,54.21,36.72,x,0.845460973,47,x,11.7,.SBS3..,130,(R'_1:)SB(r'l)bSy1,0.34,0.00424,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
NGC3640,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.27854', '3.23483')",83.37775179,1534.68,24.25,29.6,23.68,0.1905,0.806829,36,100,88.9,.E.3...,100,E3,0.152,0.004173,[]
CGCG039-137,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.36231', '3.44491')",97.60481096,7185.99,101.2111385,26.35,9.48,0.1558,0.707969292,68,145,71.3,x,x,x,0.152,0.023022,[]
NGC3511,H1101-232,"('165.90708', '-23.49194')","('165.84904', '-23.08678')",98.4261152,1333.89,13.8,23.28,8.03,0.0041,0.659243525,69,x,83.5,.SAS5..,76,SAB(s)c;HII    Sy1,0.186,0.003699,[]
NGC4596,LBQS1238+1006,"('190.14792', '9.82806')","('189.98311', '10.17614')",112.6124443,2169.2,16.799999,24.35,11.69,1.1078,0.598918223,61,75,80,.LBR+..,135,SB(r)0+       LINER:,1.045,0.006238,[]
NGC3640,SDSSJ112224.10+031802.0,"('170.60042', '3.30056')","('170.27854', '3.23483')",138.8276975,1534.68,24.25,29.6,23.68,0.1905,0.55152273,36,100,21.6,.E.3...,100,E3,0.475,0.004173,[]
UGC09760,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.01018', '1.69874')",136.6698938,2244.8,29.8,28.17,1.91,0.018,0.539288755,86,x,89.6,.S..7./,57,Sd,0.265,0.006748,"[('LGG393', '28.8064340933', '2.35090202524')]"
SDSSJ151249.73+012826.5,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.20722', '1.47404')",120.5325874,9342.9,131.5901191,20.81,5.41,0.3107,0.482175765,74,106,10.1,x,x,x,0.265,0.030427,[]
NGC0078A,UM228,"('5.25417', '0.87972')","('5.10745', '0.82635')",183.7299211,4787.73,67.43287946,37.83,19.67,1.0966,0.475719865,58,70,0,.SBR0*.,80,SB(r)0/a:,0.098,0.016942,[]
