galaxyName,AGNname,degreesJ2000RA_DecGalaxy,degreesJ2000RA_DecAGN,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
NGC3640,SDSSJ112005.00+041323.0,"('170.27854', '3.23483')","('170.02083', '4.22306')",432.1904123,1534.68,24.25,29.6,23.68,0.1905,0.003128394,x,36,100,65.4,.E.3...,100,E3,0.545,0.004173,[]
NGC4235,PG1216+069,"('184.29117', '7.19158')","('184.83708', '6.64389')",387.2910302,2708.22,28.8,31.71,10.78,2.2588,0.014825947,"2800, unmarked and weak",70,50,85.3,.SAS1./,48,SA(s)a         Sy1,0.3313,0.008039,[]
NGC4260,PG1216+069,"('184.84267', '6.09868')","('184.83708', '6.64389')",384.4546253,2255.7,40.4,36.65,17.59,2.1297,0.033428385,"1903, crowded field though",61,45,45.6,.SBS1..,58,SB(s)a;Sy      LINER,0.3313,0.006531,[]
NGC4261,PG1216+069,"('184.84675', '5.82522')","('184.83708', '6.64389')",447.5462612,2535.53,31.32,37.35,32.8,x,0.011259152,"maybe some weak stuff, crowded",28,x,19.3,.E.2+..,160,E2-3;LINER     Sy3,0.3313,0.007465,[]
NGC4316,LBQS1220+1006,"('185.676', '9.33247')","('185.80042', '9.83861')",293.3671093,1549.35,32.275,27.27,5.45,1.3596,0.051015835,x,78,110,83.6,.S..6?.,113,Sbc;Sy         LINER,0.276,0.00417,[]
NGC4380,LBQS1220+1006,"('186.34238', '10.01681')","('185.80042', '9.83861')",195.8652921,1262.6,19.94,25.38,17.76,0.93,0.231172385,x,45,165,86.5,.SAT3*$,153,SA(rs)b:?;Sy   LINER,0.276,0.003212,[]
NGC4442,LBQS1220+1006,"('187.01618', '9.80371')","('185.80042', '9.83861')",320.2797078,831.55,15.312,26.5,13.52,1.0808,0.024981939,x,59,83,8.7,.LBS0..,87,SB(s)0^0^,0.276,0.001775,[]
NGC4517,HE1228+0131,"('188.18996', '0.11503')","('187.70833', '1.25583')",211.0427507,1420.44,9.765,32.78,4.15,0.0381,0.302843371,"1488, 1707, strong",82,x,74.1,.SAS6*/,83,SA(s)cd: sp    HII,0.117,0.003764,[]
NGC4517,3C273.0,"('188.18996', '0.11503')","('187.27792', '2.05222')",364.9041481,1420.44,9.765,32.78,4.15,0.0381,0.028121375,"1013, 1582, somewhat crowded",82,x,71.8,.SAS6*/,83,SA(s)cd: sp    HII,0.1583,0.003764,[]
NGC4517A,HE1228+0131,"('188.11732', '0.38967')","('187.70833', '1.25583')",379.154268,1801.76,22.68,26.39,17.15,0.0041,0.005513778,"1488, 1707, 1854, but not a match (crowded)",49,x,55.3,.SBT8*.,30,SB(rs)dm:      HII,0.117,0.005032,[]
NGC4527,3C273.0,"('188.53509', '2.65366')","('187.27792', '2.05222')",362.9471282,2031.05,14.932,34.39,11.69,0.0215,0.036632544,"2156, 2298, but crowded field",70,70,5.6,.SXS4..,67,SAB(s)bc;HII   LINER,0.1583,0.005791,[]
NGC4527,HE1228+0131,"('188.53509', '2.65366')","('187.70833', '1.25583')",423.1750641,2031.05,14.932,34.39,11.69,0.0215,0.011160748,"1854, 2311, strong",70,70,39.4,.SXS4..,67,SAB(s)bc;HII   LINER,0.117,0.005791,[]
NGC4536,HE1228+0131,"('188.61271', '2.18814')","('187.70833', '1.25583')",347.2467113,2102.59,15.321,33.87,14.26,0.0006,0.045446024,"1854, 2311, strong",65,x,85.9,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.117,0.006031,[]
NGC4536,3C273.0,"('188.61271', '2.18814')","('187.27792', '2.05222')",358.5279206,2102.59,15.321,33.87,14.26,0.0006,0.037055229,"2156, 2298, but crowded field",65,x,45.8,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.1583,0.006031,[]
NGC4939,PG1302-102,"('196.05996', '-10.33961')","('196.3875', '-10.55556')",264.7658706,3381.83,39.118,43.66,30.12,8.3182,0.281977952,"3447, possibly OVI though",46,5,61.2,.SAS4..,10,SA(s)bc        Sy2,0.2784,0.010374,[]
NGC5363,SDSSJ135726.27+043541.4,"('209.03004', '5.25477')","('209.35917', '4.59472')",288.1392817,1414.64,22.4,30.4,22.49,3.0279,0.084516353,"1124, 1296, strong, but probably confusion with NGC5364",42,130,23.6,.I.0.$.,135,I0?            LINER,1.234,0.003799,[]
NGC5364,SDSSJ135726.27+043541.4,"('209.05', '5.01447')","('209.35917', '4.59472')",183.1138939,1516.42,20.15,37.16,21.18,0.0329,0.469364012,"1124, 1296, strong",55,48,84.3,.SAT4P.,30,SA(rs)bc pec   HII,1.234,0.00414,[]
NGC5786,QSO1500-4140,"('224.73442', '-42.01336')","('225.89167', '-41.87333')",400.3026668,3124.36,26.299999,26.57,12.22,19.5616,0.003206079,"3141, strong",62,80,0.8,PSBS4..,63,(R'_2)SAB(s)bc,0.335,0.01,[]
RFGC3781,RBS1768,"('324.43825', '-38.49256')","('324.70708', '-38.47778')",464.166338,8951.06,126.0713339,48.41,7.7,1.2132,0.034254538,x,80,x,x,x,x,Sb,0.183,0.030561,[]
SDSSJ021315.79-073942.7,SDSSJ021218.32-073719.8,"('33.31582', '-7.66188')","('33.07625', '-7.62222')",268.1771169,4531.79,63.82800065,28.29,18.11,0.2869,0.094072736,"4756,4833, strong",50,109,9.5,PSBT1..,-99,x,0.1739,0.016011,[]
UGC04239,SDSSJ080838.80+051440.0,"('121.99208', '5.20667')","('122.16167', '5.24444')",378.3226481,8893.11,125.2551175,55.81,40.18,x,0.15851862,"8927, 8740, strong",43,115,37.6,x,x,S,0.361,0.02923,[]
UGC08663,RX_J1342.1+0505,"('205.41383', '5.03287')","('205.5275', '5.08972')",226.0149665,7256.89,102.209717,30.52,26.86,3.061,0.220471704,"7038, 7114, strong",28,35,28.3,x,x,S0-:,0.266,0.023266,[]
UGC08979,SDSSJ140347.22+062812.1,"('211.03192', '6.48589')","('210.94667', '6.47')",182.7580075,7709.47,121.5,36.76,9.55,x,0.465437862,"7500, strong but no ID",74,15,64.4,x,x,Sbc,0.0843,0.024807,[]
UGC09760,SDSSJ151237.15+012846.0,"('228.01018', '1.69874')","('228.155', '1.47944')",136.6698938,2244.8,29.8,28.17,1.91,0.018,0.539288755,"2051, strong",86,x,89.6,.S..7./,57,Sd,0.265,0.006748,"[('LGG393', '28.8064340933', '2.35090202524')]"
